PhysID,ITM_1,ITM_2,ITM_3,ITM_4,ITM_5,ITM_6,ITM_7
1497847503,GENDER_F,HYDROCODONE,OXYCODONE,SPCLTY_Nurse Practitioner,STATE_WA,,
1497850515,GENDER_M,HYDROCODONE,OXYCODONE,SPCLTY_General Surgery,STATE_TN,,
1497851042,GENDER_M,HYDROCODONE,SPCLTY_Neurology,STATE_FL,TRAMADOL,,
1497852495,GENDER_M,HYDROCODONE,OXYCODONE,SPCLTY_Dentist,STATE_AR,,
1497853592,GENDER_F,HYDROCODONE,SPCLTY_Internal Medicine,STATE_CA,TRAMADOL,,
1497853733,GENDER_M,HYDROCODONE,OXYCODONE,SPCLTY_Family Practice,STATE_AZ,,
1497857023,GENDER_M,HYDROCODONE,SPCLTY_Emergency Medicine,STATE_CA,,,
1497858062,GENDER_F,HYDROCODONE,SPCLTY_Family Practice,STATE_FL,TRAMADOL,,
1497858377,GENDER_F,HYDROCODONE,SPCLTY_Nurse Practitioner,STATE_DE,TRAMADOL,,
1497865067,GENDER_M,HYDROCODONE,OXYCODONE,SPCLTY_Internal Medicine,STATE_CO,TRAMADOL,
1497869556,GENDER_F,SPCLTY_Nurse Practitioner,STATE_AL,TRAMADOL,,,
1497875504,GENDER_F,HYDROCODONE,SPCLTY_Dentist,STATE_GA,,,
1497877955,GENDER_M,HYDROCODONE,SPCLTY_Dentist,STATE_CA,,,
1497887715,GENDER_M,HYDROCODONE,SPCLTY_Dentist,STATE_AL,,,
1497887723,GENDER_M,HYDROCODONE,SPCLTY_Family Practice,STATE_WA,,,
1497890701,GENDER_M,HYDROCODONE,OXYCODONE,SPCLTY_Hematology/Oncology,STATE_WI,TRAMADOL,
1497904304,GENDER_M,OXYCODONE,SPCLTY_Emergency Medicine,STATE_PA,,,
1497905913,FENTANYL,GENDER_M,HYDROCODONE,OXYCODONE,SPCLTY_Neurology,STATE_GA,TRAMADOL
1497912729,GENDER_M,HYDROCODONE,SPCLTY_Orthopedic Surgery,STATE_NY,TRAMADOL,,
1497915383,GENDER_F,OXYCODONE,SPCLTY_Colorectal Surgery (f,STATE_AZ,,,
1497918791,GENDER_F,HYDROCODONE,SPCLTY_Internal Medicine,STATE_MD,TRAMADOL,,
1497919161,GENDER_F,SPCLTY_Family Practice,STATE_OR,TRAMADOL,,,
1497921621,GENDER_M,HYDROCODONE,SPCLTY_Internal Medicine,STATE_MI,,,
1497923536,GENDER_M,HYDROCODONE,SPCLTY_Sports Medicine,STATE_TX,,,
1497927339,GENDER_F,HYDROCODONE,OXYCODONE,SPCLTY_Podiatry,STATE_NC,,
1497937007,GENDER_F,HYDROCODONE,SPCLTY_Orthopedic Surgery,STATE_MA,,,
1497949911,GENDER_M,HYDROCODONE,SPCLTY_Emergency Medicine,STATE_IL,,,
1497952253,GENDER_F,OXYCODONE,SPCLTY_General Surgery,STATE_TX,,,
